Years,Deposits for households 
1970,21458718263
1971,23477815040
1972,24888160340
1973,29678295443
1974,23676072931
1975,22936820575
1976,25495490027
1977,36216996163
1978,49825502589
1979,66346407243
1980,80197284917
1981,72288764670
1982,69403218204
1983,66535796877
1984,63688905826
1985,72745726001
1986,77819151129
1987,106747000000
1988,133893000000
1989,146047000000
1990,164951000000
1991,154604000000
1992,141196000000
1993,125239000000
1994,139294000000
1995,252504000000
1996,267811000000
1997,287268000000
1998,295318000000
1999,278439000000
2000,275290000000
2001,256678000000
2002,270222000000
2003,311989000000
2004,353416000000
2005,376491000000
2006,417170000000
2007,495184000000
2008,426621000000
2009,305498000000
2010,333190000000
2011,384239000000
2012,384586000000
2013,410222000000
2014,474858000000
2015,457310000000
2016,417156000000
2017,421414000000
2018,442313000000