Years,GDP,Export,Import
1 960,72 328 047 042,14 616 021 507,15 617 572 733
1 961,76 694 360 636,15 258 543 541,15 522 854 822
1 962,80 601 939 635,15 655 395 385,15 815 127 026
1 963,85 443 766 670,16 511 191 129,16 851 607 900
1 964,93 387 598 814,17 491 172 418,19 076 116 871
1 965,100 596 000 000,18 622 333 929,19 509 114 056
1 966,107 091 000 000,20 082 873 495,20 239 775 212
1 967,111 185 000 000,20 542 668 837,21 697 473 493
1 968,104 703 000 000,21 672 959 116,22 507 195 655
1 969,112 677 000 000,24 206 781 923,23 743 551 743
1 970,130 672 000 000,27 902 526 038,26 851 654 428
1 971,148 114 000 000,31 746 917 742,29 800 489 900
1 972,169 965 000 000,34 341 107 642,34 533 986 264
1 973,192 538 000 000,42 319 966 193,46 726 319 206
1 974,206 131 000 000,54 134 726 975,63 913 005 143
1 975,241 757 000 000,60 131 751 770,64 182 355 531
1 976,232 615 000 000,63 803 000 539,66 371 104 942
1 977,263 066 000 000,76 429 436 072,74 631 432 409
1 978,335 883 000 000,92 132 689 166,87 814 120 038
1 979,438 994 000 000,117 693 000 000,116 131 000 000
1 980,564 948 000 000,147 244 000 000,135 165 000 000
1 981,540 766 000 000,137 574 000 000,122 614 000 000
1 982,515 049 000 000,129 280 000 000,119 677 000 000
1 983,489 618 000 000,123 517 000 000,118 897 000 000
1 984,461 487 000 000,124 457 000 000,124 719 000 000
1 985,489 285 000 000,133 643 000 000,128 330 000 000
1 986,601 453 000 000,146 317 000 000,149 846 000 000
1 987,745 163 000 000,177 766 000 000,184 580 000 000
1 988,910 123 000 000,195 530 000 000,224 667 000 000
1 989,926 885 000 000,203 357 000 000,236 491 000 000
1 990,1 093 170 000 000,247 135 000 000,266 964 000 000
1 991,1 142 800 000 000,250 225 000 000,254 445 000 000
1 992,1 179 660 000 000,262 046 000 000,270 309 000 000
1 993,1 061 390 000 000,255 402 000 000,259 162 000 000
1 994,1 140 490 000 000,288 205 000 000,288 446 000 000
1 995,1 335 860 000 000,335 938 000 000,332 282 000 000
1 996,1 409 410 000 000,362 579 000 000,360 200 000 000
1 997,1 553 620 000 000,394 610 000 000,387 051 000 000
1 998,1 641 670 000 000,390 995 000 000,402 224 000 000
1 999,1 668 270 000 000,395 193 000 000,419 186 000 000
2 000,1 648 270 000 000,410 608 000 000,441 964 000 000
2 001,1 625 800 000 000,400 967 000 000,440 007 000 000
2 002,1 773 020 000 000,420 640 000 000,470 529 000 000
2 003,2 043 830 000 000,479 922 000 000,528 824 000 000
2 004,2 403 610 000 000,562 783 000 000,624 328 000 000
2 005,2 525 010 000 000,623 696 000 000,687 391 000 000
2 006,2 697 150 000 000,720 721 000 000,783 939 000 000
2 007,3 084 120 000 000,766 977 000 000,837 045 000 000
2 008,2 904 040 000 000,776 502 000 000,848 195 000 000
2 009,2 394 790 000 000,626 295 000 000,670 422 000 000
2 010,2 452 900 000 000,690 824 000 000,745 065 000 000
2 011,2 634 900 000 000,802 152 000 000,831 750 000 000
2 012,2 676 610 000 000,797 322 000 000,837 755 000 000
2 013,2 753 570 000 000,818 443 000 000,863 836 000 000
2 014,3 034 730 000 000,856 124 000 000,904 953 000 000
2 015,2 896 420 000 000,793 849 000 000,835 074 000 000
2 016,2 659 240 000 000,752 005 000 000,793 709 000 000
2 017,2 637 870 000 000,794 771 000 000,825 573 000 000
2 018,2 825 210 000 000,845 888 000 000,887 203 000 000