Years,HouseHold Taxes
1965,14.536
1966,14.582
1967,14.077
1968,13.849
1969,13.375
1970,12.463
1971,13.284
1972,14.725
1973,13.574
1974,12.754
1975,12.709
1976,12.201
1977,12.02
1978,11.992
1979,12.42
1980,12.044
1981,13.335
1982,12.796
1983,12.335
1984,11.961
1985,11.972
1986,12.421
1987,13.165
1988,12.916
1989,12.662
1990,8.172
1991,7.488
1992,7.358
1993,10.024
1994,10.44
1995,10.029
1996,10.28
1997,10.425
1998,10.445
1999,10.846
2000,11.469
2001,11.481
2002,11.963
2003,11.892
2004,11.89
2005,11.864
2006,12.368
2007,12.475
2008,11.776
2009,12.17
2010,12.014
2011,11.636
2012,11.896
2013,12.359
2014,12.724
2015,12.558
2016,12.62
2017,12.547
2018,12.335