Years,Interest rate on bank loans,Variations Interest rates on bank loans(%)
1967,2.54,
1968,1.84,-27.56
1969,1.11,-39.67
1970,-1.93,-273.87
1971,-0.47,-75.65
1972,0.27,-157.45
1973,-0.4,-248.15
1974,-5.25,1212.50
1975,-12.17,131.81
1976,-3.49,-71.32
1977,-4.23,21.2
1978,-2.12,-49.88
1979,-0.33,-84.43
1980,-2.83,757.58
1981,1.53,-154.06
1982,4.22,175.82
1983,4.47,5.92
1984,4.43,-0.89
1985,6.44,45.37
1986,6.28,-2.48
1987,3.98,-36.62
1988,3.76,-5.53
1989,5.46,45.21
1990,6.38,16.85
1991,4.97,-22.1
1992,06.01,20.93
1993,3.23,-46.26
1994,04.06,25.7
1995,-3.77,-192.86
1996,1.8,-147.75
1997,5.81,222.78
1998,06.09,4.82
1999,4.52,-25.78
2000,3.77,-16.59
2001,4.27,13.26
2002,1.78,-58.31
2003,1.26,-29.21
2004,1.87,48.41
2005,02.04,09.09
2006,1.66,-18.63
2007,2.89,74.1
2008,1.78,-38.41
2009,-0.96,-153.93
2010,-1.02,6.25
2011,-1.39,36.27
2012,-1.05,-24.46
2013,-1.34,27.62
2014,-1.19,-11.19