Years,Interest rates on deposits (%)
01/10/2008,4.25
01/11/2008,2.75
01/12/2008,1.75
01/01/2009,1.25
01/02/2009,0.75
01/03/2009,0.00
01/04/2009,0.00
01/05/2009,0.00
01/06/2009,0.00
01/07/2009,0.00
01/08/2009,0.00
01/09/2009,0.00
01/10/2009,0.00
01/11/2009,0.00
01/12/2009,0.00
01/01/2010,0.00
01/02/2010,0.00
01/03/2010,0.00
01/04/2010,0.00
01/05/2010,0.00
01/06/2010,0.00
01/07/2010,0.00
01/08/2010,0.00
01/09/2010,0.00
01/10/2010,0.00
01/11/2010,0.00
01/12/2010,0.00
01/01/2011,0.00
01/02/2011,0.00
01/03/2011,0.00
01/04/2011,0.00
01/05/2011,0.00
01/06/2011,0.00
01/07/2011,0.00
01/08/2011,0.00
01/09/2011,0.00
01/10/2011,0.00
01/11/2011,0.00
01/12/2011,0.00
01/01/2012,0.00
01/02/2012,0.00
01/03/2012,0.00
01/04/2012,0.00
01/05/2012,0.00
01/06/2012,0.00
01/07/2012,0.00
01/08/2012,0.00
01/09/2012,0.00
01/10/2012,0.00
01/11/2012,0.00
01/12/2012,0.00
01/01/2013,0.00
01/02/2013,0.00
01/03/2013,0.00
01/04/2013,0.00
01/05/2013,0.00
01/06/2013,0.00
01/07/2013,0.00
01/08/2013,0.00
01/09/2013,0.00
01/10/2013,0.00
01/11/2013,0.00
01/12/2013,0.00
01/01/2014,0.00
01/02/2014,0.00
01/03/2014,0.00
01/04/2014,0.00
01/05/2014,0.00
01/06/2014,0.00
01/07/2014,0.00
01/08/2014,0.00
01/09/2014,0.00
01/10/2014,0.00
01/11/2014,0.00
01/12/2014,0.00
01/01/2015,0.00
01/02/2015,0.00
01/03/2015,0.00
01/04/2015,0.00
01/05/2015,0.00
01/06/2015,0.00
01/07/2015,0.00
01/08/2015,0.00
01/09/2015,0.00
01/10/2015,0.00
01/11/2015,0.00
01/12/2015,0.00
01/01/2016,0.00
01/02/2016,0.00
01/03/2016,0.00
01/04/2016,0.00
01/05/2016,0.00
01/06/2016,0.00
01/07/2016,0.00
01/08/2016,0.00
01/09/2016,0.00
01/10/2016,0.00
01/11/2016,0.00
01/12/2016,0.00
01/01/2017,0.00
01/02/2017,0.00
01/03/2017,0.00
01/04/2017,0.00
01/05/2017,0.00
01/06/2017,0.00
01/07/2017,0.00
01/08/2017,0.00
01/09/2017,0.00
01/10/2017,0.00
01/11/2017,0.25
01/12/2017,0.25
01/01/2018,0.25
01/02/2018,0.25
01/03/2018,0.25
01/04/2018,0.25
01/05/2018,0.25
01/06/2018,0.25
01/07/2018,0.25
01/08/2018,0.5
01/09/2018,0.5
01/10/2018,0.5
01/11/2018,0.5
01/12/2018,0.5
01/01/2019,0.5
01/02/2019,0.5
01/03/2019,0.5
01/04/2019,0.5
01/05/2019,0.5
01/06/2019,0.5
01/07/2019,0.5
01/08/2019,0.5
01/09/2019,0.5
01/10/2019,0.5
01/11/2019,0.5
01/12/2019,0.5
01/01/2020,0.5
01/02/2020,0.5
01/03/2020,0.5
01/04/2020,0.5
01/05/2020,0.5
01/06/2020,0.5
01/07/2020,0.5
01/08/2020,0.5
01/09/2020,0.5
01/10/2020,0.5
01/11/2020,0.5
01/12/2020,0.5