Years,GDP,UK National debt en % de GDP,UK National debt en Livres,Nominal demand for GB (ICPF),Nominal demand for GB (Rest of the World ou Overseas),Nominal demand for GB (CB)
1960,72328047042,,0,0,0,0
1961,76694360636,,0,0,0,0
1962,80601939635,,0,0,0,0
1963,85443766670,,0,0,0,0
1964,93387598814,,0,0,0,0
1965,100596000000,,0,0,0,0
1966,107091000000,,0,0,0,0
1967,111185000000,,0,0,0,0
1968,104703000000,,0,0,0,0
1969,112677000000,,0,0,0,0
1970,130672000000,63.99,83617012800,22576593456,19231912944,19231912944
1971,148114000000,57.99,85891308600,23190653322,19755000978,19755000978
1972,169965000000,55.46,94262589000,25450899030,21680395470,21680395470
1973,192538000000,49.48,95267802400,25722306648,21911594552,21911594552
1974,206131000000,49.87,102797529700,27755333019,23643431831,23643431831
1975,241757000000,48.82,118025767400,31866957198,27145926502,27145926502
1976,232615000000,51.24,119191926000,32181820020,27414142980,27414142980
1977,263066000000,50.08,131743452800,35570732256,30300994144,30300994144
1978,335883000000,46.95,157697068500,42578208495,36270325755,36270325755
1979,438994000000,44.47,195220631800,52709570586,44900745314,44900745314
1980,564948000000,42.11,237899602800,64232892756,54716908644,54716908644
1981,540766000000,44.40,240100104000,64827028080,55223023920,55223023920
1982,515049000000,44.55,229454329500,61952668965,52774495785,52774495785
1983,489618000000,43.13,211172243400,57016505718,48569615982,48569615982
1984,461487000000,43.53,200885291100,54239028597,46203616953,46203616953
1985,489285000000,43.40,212349690000,57334416300,48840428700,48840428700
1986,601453000000,41.76,251166772800,67815028656,57768357744,57768357744
1987,745163000000,49.14,366173098200,98866736514,84219812586,84219812586
1988,910123000000,34.98,318361025400,85957476858,73223035842,73223035842
1989,926885000000,29.26,271206551000,73225768770,62377506730,62377506730
1990,1093170000000,26.64,291220488000,78629531760,66980712240,66980712240
1991,1142800000000,25.24,288442720000,77879534400,66341825600,66341825600
1992,1179660000000,26.65,314379390000,84882435300,72307259700,72307259700
1993,1061390000000,30.86,327544954000,88437137580,75335339420,75335339420
1994,1140490000000,36.05,411146645000,111009594150,94563728350,94563728350
1995,1335860000000,39.55,528332630000,142649810100,121516504900,121516504900
1996,1409410000000,41.20,580676920000,156782768400,133555691600,133555691600
1997,1553620000000,41.41,643354042000,173705591340,147971429660,147971429660
1998,1641670000000,40.79,669637193000,180802042110,154016554390,154016554390
1999,1668270000000,38.52,642617604000,173506753080,147802048920,147802048920
2000,1648270000000,35.78,589751006000,159232771620,135642731380,135642731380
2001,1625800000000,31.00,503998000000,136079460000,115919540000,115919540000
2002,1773020000000,30.05,532792510000,143853977700,122542277300,122542277300
2003,2043830000000,31.26,638901258000,172503339660,146947289340,146947289340
2004,2403610000000,32.52,781653972000,211046572440,179780413560,179780413560
2005,2525010000000,35.60,898903560000,242703961200,206747818800,206747818800
2006,2697150000000,36.67,989044905000,267042124350,227480328150,227480328150
2007,3084120000000,37.25,1148834700000,310185369000,264231981000,264231981000
2008,2904040000000,38.86,1128509944000,304697684880,259557287120,259557287120
2009,2394790000000,49.14,1176799806000,317735947620,270663955380,270663955380
2010,2452900000000,65.47,1605913630000,433596680100,369360134900,369360134900
2011,2634900000000,72.01,1897391490000,512295702300,436400042700,436400042700
2012,2676610000000,75.90,2031546990000,548517687300,467255807700,467255807700
2013,2753570000000,79.75,2195972075000,592912460250,505073577250,505073577250
2014,3034730000000,82.17,2493637641000,673282163070,573536657430,573536657430
2015,2896420000000,83.69,2424013898000,654483752460,557523196540,557523196540
2016,2659240000000,83.73,2226581652000,601177046040,512113779960,512113779960
2017,2637870000000,83.73,2208688551000,596345908770,507998366730,507998366730
2018,2825210000000,86.72,2450022112000,661505970240,563505085760,563505085760
2019,2825210000149,84.60,2390127660126,645334468234,549729361829,549729361829