"Date","Monthly amounts outstanding of UK resident banks' inc. BoE Banking Department (monthly balance sheet reporters) sterling loans to private sector (in sterling millions) not seasonally adjusted              [a] [b]             RPMATGM"
"31 Aug 97","621046"
"31 Jul 97","619287"
"30 Jun 97","583136"
"31 May 97","496314"
"30 Apr 97","489859"
"31 Mar 97","468426"
"28 Feb 97","466662"
"31 Jan 97","463534"
"31 Dec 96","460107"
"30 Nov 96","457949"
"31 Oct 96","452476"
"30 Sep 96","448927"
"31 Aug 96","448833"
"31 Jul 96","434108"
"30 Jun 96","430328"
"31 May 96","426277"
"30 Apr 96","424048"
"31 Mar 96","425113"
"29 Feb 96","423067"
"31 Jan 96","417027"
"31 Dec 95","426936"
"30 Nov 95","421718"
"31 Oct 95","419700"
"30 Sep 95","417118"
"31 Aug 95","412280"
"31 Jul 95","396581"
"30 Jun 95","392906"
"31 May 95","391724"
"30 Apr 95","389080"
"31 Mar 95","387185"
"28 Feb 95","381955"
"31 Jan 95","384158"
"31 Dec 94","380615"
"30 Nov 94","377180"
"31 Oct 94","373670"
"30 Sep 94","374778"
"31 Aug 94","370927"
"31 Jul 94","369968"
"30 Jun 94","368905"
"31 May 94","363398"
"30 Apr 94","365364"
"31 Mar 94","368258"
"28 Feb 94","367942"
"31 Jan 94","369258"
"31 Dec 93","371086"
"30 Nov 93","367382"
"31 Oct 93","368602"
"30 Sep 93","367427"
"31 Aug 93","366281"
"31 Jul 93","364670"
"30 Jun 93","365175"
"31 May 93","363934"
"30 Apr 93","363678"
"31 Mar 93","365470"
"28 Feb 93","364583"
"31 Jan 93","366045"
"31 Dec 92","366096"
"30 Nov 92","364952"
"31 Oct 92","366406"
"30 Sep 92","366909"
"31 Aug 92","366114"
"31 Jul 92","365857"
"30 Jun 92","366809"
"31 May 92","364195"
"30 Apr 92","364505"
"31 Mar 92","364773"
"29 Feb 92","364214"
"31 Jan 92","363989"
"31 Dec 91","366459"
"30 Nov 91","366779"
"31 Oct 91","364893"
"30 Sep 91","368210"
"31 Aug 91","364531"
"31 Jul 91","364629"
"30 Jun 91","365614"
"31 May 91","363125"
"30 Apr 91","362706"
"31 Mar 91","364490"
"28 Feb 91","361276"
"31 Jan 91","359225"
"31 Dec 90","359586"
"30 Nov 90","355542"
"31 Oct 90","352421"
"30 Sep 90","350399"
"31 Aug 90","343415"
"31 Jul 90","342814"
"30 Jun 90","342210"
"31 May 90","335002"
"30 Apr 90","331609"
"31 Mar 90","331597"
"28 Feb 90","323405"
"31 Jan 90","319601"
"31 Dec 89","318294"
"30 Nov 89","310799"
"31 Oct 89","308072"
"30 Sep 89","308470"
"31 Aug 89","299093"
"31 Jul 89","293366"
"30 Jun 89","262875"
"31 May 89","255774"
"30 Apr 89","252471"
"31 Mar 89","249143"
"28 Feb 89","241689"
"31 Jan 89","238606"
"31 Dec 88","235742"
"30 Nov 88","230855"
"31 Oct 88","228157"
"30 Sep 88","224446"
"31 Aug 88","217501"
"31 Jul 88","213891"
"30 Jun 88","209316"
"31 May 88","200344"
"30 Apr 88","197519"
"31 Mar 88","192491"
"29 Feb 88","186362"
"31 Jan 88","184484"
"31 Dec 87","182813"
"30 Nov 87","178453"
"31 Oct 87","176697"
"30 Sep 87","173749"
"31 Aug 87","168135"
"31 Jul 87","165695"
"30 Jun 87","163513"
"31 May 87","158753"
"30 Apr 87","155021"
"31 Mar 87","153089"
"28 Feb 87","148357"
"31 Jan 87","145577"
"31 Dec 86","144792"
"30 Nov 86","141619"
"31 Oct 86","139487"
"30 Sep 86","138203"