Date,GDP,Export,Import,Inflation,Variations Inflation (%),Interest rate on bank loans,Variations Interest rates on bank loans(%),Government Spending (% of GDP),HouseHold Taxes,Debt to Income Ratio (%),New mortgages ,Part of mortgage already paid,Mortgages (Million of Livre),Corporation tax Rate,Household Tax Rate,Deposits for households,Interest rates on government bonds,Housing wealth,Residential mortgage LTV ratio (%),Housing stock,Annual business investment (million livre),% growth,Private pension wealth (billion Livres),Total wealth (billion Livres),UK National debt en % de GDP,UK National debt en Livres,Nominal demand for GB (ICPF),Nominal demand for GB (Rest of the World ou Overseas),Nominal demand for GB (CB),Interest rates on deposits (%),UK government bonds issued by Central Government (in sterling millions),Interest rates Mortgages 3 years (%),Bank bond supply ,Government transfer to households,% of net disposable income,Annuities ,Bank Dividend (in sterling millions)
1995-01-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1420.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-02-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1460.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-03-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.5,,-1517.0,1327.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-04-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1353.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-05-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1172.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-06-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.2,,-1784.0,1166.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-07-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,950.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-08-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,915.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-09-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,86.2,,-1765.0,1409.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-10-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1012.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-11-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,,,,1024.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1995-12-01,111321666666.66667,27994833333.333332,27690166666.666668,2.7,21.62,-3.77,-192.86,47.4738,10.029,85.7,,-2908.0,1226.0,0.33,0.4,21042000000.0,,,,,,,,,39.55,44027719166.666664,11887484175.0,10126375408.333334,10126375408.333334,,,,3.6666666666666665,8794411666.666666,363.3984,,
1996-01-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1359.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-02-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1260.5,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-03-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,84.8,,-1528.0,1426.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-04-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1243.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-05-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1445.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-06-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,84.6,,-1050.0,1633.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-07-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1249.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-08-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1425.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-09-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,84.4,,-1244.0,1661.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-10-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1797.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-11-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,,,,1884.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1996-12-01,117450833333.33333,30214916666.666668,30016666666.666668,2.85,5.56,1.8,-147.75,45.84251,10.28,84.2,,-1830.0,1944.0,0.33,0.4,22317583333.333332,,,,,,,,,41.2,48389743333.333336,13065230700.0,11129640966.666666,11129640966.666666,,,,9.583333333333334,9278615833.333334,367.8918,,
1997-01-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,94.17,,1787.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-02-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,100.76,,1920.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-03-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,84.7,90.23,-428.0,2110.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-04-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,85.08,,1613.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-05-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,67.84,,2017.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-06-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,85.0,65.72,166.0,1974.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-07-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,62.93,,1605.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-08-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,57.57,,1901.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-09-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,85.3,65.29,432.0,1924.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-10-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,67.17,,1823.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-11-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,,48.14,,1844.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1997-12-01,129468333333.33333,32884166666.666668,32254250000.0,2.2,-22.81,5.81,222.78,44.074729999999995,10.425,85.3,67.19,-1237.0,1822.0,0.31,0.4,23939000000.0,,,,,11691.0,,,,41.41,53612836833.333336,14475465945.0,12330952471.666666,12330952471.666666,,,,15.583333333333334,10227998333.333334,389.5645,,
1998-01-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,79.64,,1927.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-02-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,83.05,,1926.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-03-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,86.2,78.38,-925.0,1803.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-04-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,84.1,,1945.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-05-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,86.36,,1954.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-06-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,87.2,58.13,339.0,2051.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-07-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,65.82,,2287.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-08-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,90.28,,2032.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-09-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,88.6,114.44,1445.0,1984.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-10-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,131.83,,2020.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-11-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,,140.35,,1970.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1998-12-01,136805833333.33333,32582916666.666668,33518666666.666668,1.82,-17.27,6.09,4.82,42.9343,10.445,89.1,140.0,-269.0,2144.0,0.31,0.4,24609833333.333332,,,,,12727.833333333334,8.9,,,40.79,55803099416.666664,15066836842.5,12834712865.833334,12834712865.833334,,,,28.5,10807660833.333334,446.0402,,553.8333333333334
1999-01-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,121.28,,2267.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-02-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,128.75,,2280.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-03-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,89.6,101.2,168.0,3105.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-04-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,109.84,,3007.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-05-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,96.92,,2861.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-06-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,90.2,92.03,2914.0,2908.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-07-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,91.99,,3334.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-08-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,93.45,,3067.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-09-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,91.4,64.6,4324.0,3328.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-10-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,74.53,,3730.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-11-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,,69.26,,3022.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
1999-12-01,139022500000.0,32932750000.0,34932166666.666664,1.75,-3.85,4.52,-25.78,41.70743,10.845999999999998,92.0,81.56,2382.0,3193.0,0.3,0.4,23203250000.0,,,,,12855.833333333334,1.0,,,38.52,53551467000.0,14458896090.0,12316837410.0,12316837410.0,,,,14.666666666666666,10982777500.0,456.3518,,9.333333333333334
2000-01-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,71.1,,3261.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-02-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,70.23,,2922.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-03-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,92.0,71.87,790.0,3632.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-04-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,71.9,,3263.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
2000-05-01,137355833333.33333,34217333333.333332,36830333333.333336,1.18,-32.57,3.77,-16.59,39.4775,11.469000000000001,,74.0,,3224.0,0.3,0.4,22940833333.333332,,,,,13272.25,3.2,,,35.78,49145917166.666664,13269397635.0,11303560948.333334,11303560948.333334,,,,14.666666666666666,10851110833.333334,443.1036,,1194.5833333333333
